Business Name,Business ID,Review Count,Business Rating,Price Range
Speakeasy 518,E5sYnSkBZccjgOrgRzHxkw,136,4.5,$$$
The Albany Ale & Oyster,WFKzYTALlXqXRpI4ANsixA,257,4.5,$$
Madison Pour House,mzPElclmGc_pMaohhYS6ng,127,4.5,$$
The Hollow Bar & Kitchen,UisT9M4vbDeh2N3PtWQGkg,323,4.0,$$
Susie's,d8SwzWBDymz1KByNdvy5kA,48,4.5,$
Dove + Deer,SC7INlXxR362yDVuq8XukA,83,4.5,$$
Lost & Found,ND8zhyVnqrOTtfeKAE1Y3g,59,4.5,$$
The Excelsior Pub,e8Mh6IJNZOW2yUqfr83xcg,48,4.5,$
The Bishop,CSqytZ7zZDhM22Pl6393YA,48,4.0,$$
City Line Bar and Grill,goRzcDmHBBEJoQ2i5U_ulw,277,3.5,$$
Waterworks Pub,CzfqowTGOa55GM41RWo6bQ,24,3.5,$$
Palais Royale,lIjMG2l6lp8apFpBVcItug,32,4.0,$
Tipsy Moose Tap & Tavern,GlQM1NI2yjux9jS6OSlSMw,291,4.0,$$
Savoy Taproom,UKGK9Ie_VuAf9_mhtxWNDQ,85,4.0,$$
Beer Bones Taproom,cSeRgLnKTPBOhcjo6g0H1Q,16,5.0,
Oh Bar,yegqQSId92uUOLMptWedXg,32,3.5,$
McGeary's,PvDyPz9uecPrFy9maiqhmw,106,4.0,$$
Ralph's Tavern,qTK8duK8uJ3k1OgUv8XIpA,227,4.0,$$
Wolff's Biergarten,l4tYS_3SVYpk9yPOCHR0TA,214,4.0,$$
The Shaker and Vine,7J6thv7y-4flyO2hl4YLfw,62,4.0,$$
Franklin Alley Social Club,erwC9m4U5ID0G4jPNAjZHg,13,5.0,$
Skyloft,Ewhr3FYclsQ4RgQA1gGTYQ,18,3.5,
The Olde English,7tENJVXzZcK_5SNiVzIE1w,213,4.0,$$
Vivian's Lounge,vN9aJJh8xbE70Cy7qMJG1A,7,4.5,$
The Allen Street Pub,30Z2f7EFFflhEt3TGg_dvA,10,4.5,$$
Fuze Box,SgJsVmML23tHFzXrnEDo_w,21,3.0,$$
Lionheart Pub,rdixQpOqq9X0qdmFbIlxzw,56,3.0,$$
The Upper Room,ByZCI_0KWtHfvGsKOa69_A,4,3.0,
Emporium Farm Brewery,zjTkr5j9yEE0zPvDDvHxww,4,5.0,
Black and Blue Steak and Crab,EUA2-TFs09u3W9EEoXeW6g,229,3.5,$$$
The Point Restaurant and Lounge,Ye38k8cWAn0F-CtkMSnYsw,202,4.0,$$
Across The Street Pub,2YVy8k9NAZ0vMlrC8xyq8A,61,3.5,$$
288 Lark Wine & Tap,EK1IzMI79YpDy6h7zxsNVw,27,4.5,
The Tavern,Q3J2Q54xJuyZVEljkkTC8w,7,3.5,$$
Maggie McFly's,F5nU6c4s1-Np85ldma28Ww,104,3.0,$$
Pearl Street Pub,A2fXWv7IXXPzBFaPJDuxEg,102,2.5,$$
The Washington Tavern,xatQD-SvNm9_bd15YlOXVA,70,3.0,$$
Rocks,_n3lmDBWMrqU8ZfYHZgUbw,11,4.0,$$
Build A Burger Pub,-GLhghpIQ8itsL6FYLoDbw,36,4.5,$$
Wellington's,UddIOPOCt3of2Fsb0_pzcQ,94,3.5,$$
Loch & Quay,hX6glM3Dw-HbjHu6wDfVEw,14,4.0,$$
