Business Name,Business ID,Review ID,Review Text,Review Rating,Review Time
Speakeasy 518,E5sYnSkBZccjgOrgRzHxkw,xt_zNVxHywozwuGFOhz7og,I have been coming to the speakeasy for about 3 years for their swing dance nights and am finally writing the review that this amazing place deserves. The...,5,2019-10-20 07:07:09
Speakeasy 518,E5sYnSkBZccjgOrgRzHxkw,s_1MuBdLk2YqNCsBW0W80A,"I've always wanted to go to a Speakeasy.....


I made reservation for myself on Thursday and managed to get a table. I decided to sit at the bar upon my...",5,2019-09-29 10:11:27
Speakeasy 518,E5sYnSkBZccjgOrgRzHxkw,ZFERgYnA2gIdonnO9E0Viw,"Nice mood, good music, excellent drinks. You have to make a reservation for larger groups. For just two people, you can probably take a seat at the bar....",5,2020-03-20 09:35:45
The Albany Ale & Oyster,WFKzYTALlXqXRpI4ANsixA,J2778yikKrH5UWXmOEYlSg,"A nice little bar for locally brewed beer and bar munches. 

-Environment: nicely decorated bar place. 

-Service: quick and attentive.

-Appetizer: raw...",5,2019-10-26 08:38:07
The Albany Ale & Oyster,WFKzYTALlXqXRpI4ANsixA,z_n5jUmxWyssaDaWHCgkXA,"You're not supposed to have oysters in a month without an ""R"" (i.e., the summer months of May, June, July and August) but I forgot that when our waitress...",4,2019-07-30 18:04:48
The Albany Ale & Oyster,WFKzYTALlXqXRpI4ANsixA,MszVP79TZy-X7bIbVmXtMA,"We stopped by on Saturday for an early dinner. It took a while for someone to come and take our order, but nothing too crazy. We got oysters, the not brat,...",4,2019-07-31 18:49:03
Madison Pour House,mzPElclmGc_pMaohhYS6ng,isX5aSiuuTEjNUwTg6kecA,The perfect local bar to grab a great beer and play games/catch up with friends! Reasonable prices. And... food. Can't go wrong!,5,2019-12-13 20:45:32
Madison Pour House,mzPElclmGc_pMaohhYS6ng,vgAh5KQN37UwZgKQvs5PpA,"Cool, cool vibe here and the pricing structure keeps out the drunken college rifraff.  Most patrons seemed to be thirtysomethings, though it was an eclectic...",4,2018-04-13 18:49:14
Madison Pour House,mzPElclmGc_pMaohhYS6ng,vkLnUMRr47IkeKWrwSBQSQ,My boyfriend and I stumbled upon this place while we were waiting to get seated at Cafe Madison next door. They offered free coffee while we waited so we...,5,2019-04-28 09:00:30
The Hollow Bar & Kitchen,UisT9M4vbDeh2N3PtWQGkg,z9A9SUFesvVK-CQfuT0D0w,Was visiting the NYS Museum and did a Google search for nearby vegan restaurants and The Hollow came up.  I checked out the menu and thought we'd give it a...,5,2020-01-18 14:55:15
